member_id,score,rank
8726,0.8543057947236244,1
8497,0.8424421527619781,2
3666,0.8389004811885302,3
154,0.820874822679114,4
501,0.8180005733454967,5
1900,0.8174332712002523,6
5683,0.8144450365869407,7
4068,0.8134520909792735,8
8850,0.8009820150320255,9
4400,0.7941409554071571,10
4566,0.7926906993068511,11
4791,0.7907076773553728,12
4521,0.790684372864231,13
4456,0.7849303297196863,14
8005,0.7838215460148056,15
8253,0.7836812430610142,16
2393,0.7832335644235124,17
1639,0.7821941468667922,18
8535,0.7798054228309365,19
1216,0.778376221891641,20
4509,0.7782203548797136,21
8178,0.7758781361008947,22
9327,0.7742927349948534,23
1190,0.7708335365126986,24
7154,0.7679859978765934,25
2876,0.7664383783621317,26
4805,0.765598890612706,27
9687,0.7631532054590137,28
295,0.761586114958042,29
4136,0.7483641688440804,30
915,0.7466288815448354,31
757,0.7466051682292795,32
9120,0.7464221520845454,33
4820,0.7454606867758047,34
9229,0.744371175352412,35
4403,0.7439021671389946,36
4357,0.7434454708969163,37
2317,0.741249775839171,38
3420,0.7402183668083566,39
5516,0.7398949363335677,40
1225,0.7391601121736723,41
1409,0.7388196510042885,42
9793,0.7387890071216118,43
7917,0.7384976111532453,44
1338,0.7355526278599352,45
1772,0.7347370619937732,46
2295,0.7347322230631879,47
4759,0.733500914245705,48
7873,0.733187621692958,49
7875,0.7324775643743937,50
1092,0.732171934079782,51
9508,0.7315482519341595,52
1058,0.7313326544709451,53
8221,0.7310917937669626,54
8933,0.7305922069424714,55
1700,0.7294294504195641,56
6479,0.728639935125933,57
8190,0.7284350648432191,58
6495,0.7264836426713599,59
6489,0.7259029321873046,60
6674,0.7251502672060884,61
3317,0.7246192431411034,62
7553,0.7226156779365002,63
1152,0.721728219190921,64
8313,0.7215358610858207,65
1634,0.7207286674129494,66
3361,0.7185136811805583,67
778,0.7184564901250682,68
5437,0.7175409142299305,69
6161,0.7163286000727801,70
50,0.7155334860713061,71
8038,0.7140608832490272,72
5373,0.7131446921562613,73
7243,0.712361737786603,74
5915,0.7123102882730938,75
2598,0.7122052153210978,76
1871,0.7121886286599145,77
443,0.7118199986810811,78
1272,0.7106194561861103,79
3845,0.7100346802947601,80
1794,0.7098484255617575,81
8577,0.7095556663204976,82
1246,0.709501016029638,83
6721,0.709384874558697,84
3340,0.7090665344729677,85
2796,0.7074319851952187,86
8129,0.7073914702098452,87
6447,0.7073294017461675,88
4077,0.7073284002913482,89
6215,0.7072098413816267,90
1583,0.7068659151249941,91
6031,0.7059937206505666,92
1243,0.7056520700398962,93
8868,0.7049859533846285,94
9288,0.703856895360209,95
7425,0.7034574608162819,96
1082,0.701838639503981,97
8270,0.7015698145679092,98
1109,0.7012065076608264,99
6279,0.7000320189742103,100
2619,0.6993324965830882,101
8728,0.6992077372709767,102
2084,0.6986523971409929,103
4786,0.697403302127214,104
5022,0.6973582545569342,105
5988,0.6964074199251453,106
1716,0.6952794757399653,107
8508,0.6941737420970822,108
4505,0.6940998432794624,109
779,0.6936428882753974,110
7484,0.6932427920772387,111
4523,0.691206567468703,112
3120,0.6908773683321143,113
3846,0.6906293034718026,114
4113,0.6897003318904572,115
4178,0.6892173311516806,116
3436,0.6889824935205598,117
3186,0.6885377302840372,118
5560,0.6883064768819007,119
323,0.688098657731727,120
5238,0.6879655107089404,121
8512,0.6876860291486833,122
9082,0.6875382193290178,123
5416,0.6871431162919581,124
7351,0.6871264986547069,125
6751,0.6869325457468426,126
8066,0.6861061637872865,127
9713,0.6859651447731191,128
7577,0.6853137233627837,129
4017,0.6844712064294138,130
677,0.6838389029971689,131
3699,0.6836428625323463,132
7286,0.6830550328560749,133
5374,0.6830287866585488,134
8347,0.6829333278332314,135
6220,0.6828144258138829,136
6982,0.6819572426255865,137
3536,0.6814573627414945,138
9148,0.6810462316180419,139
7312,0.6803464470390369,140
3002,0.6799054772244696,141
6426,0.6797912641227901,142
3898,0.6794473615914365,143
710,0.679418119401657,144
4487,0.6791662875090577,145
2305,0.6785289514957936,146
3365,0.6780085605322826,147
8733,0.6779283248810773,148
9159,0.6769995052135337,149
6116,0.6768017233051998,150
7757,0.6762778406433549,151
9185,0.676081870427085,152
3925,0.6760254650714349,153
6523,0.6751180054123925,154
858,0.6751046106790777,155
141,0.6749927151513666,156
7593,0.6744700240118294,157
4247,0.6741127758006034,158
9077,0.6740847254653126,159
1682,0.6739200270096594,160
3213,0.6734255890231791,161
97,0.6733487995269952,162
9452,0.673025870046071,163
5695,0.6727314336765976,164
4865,0.6726914722988996,165
808,0.6726841693817235,166
6338,0.6720158167027547,167
7831,0.6717254758175621,168
2885,0.6713511325818811,169
4140,0.6711341078453633,170
7451,0.6711262326262555,171
4499,0.6707890460271625,172
4559,0.6706919016524611,173
8341,0.67065939880018,174
1624,0.670628481755563,175
1958,0.670375467406484,176
