member_id,p_treat,p_control,uplift,net_value,policy_net_value
1,0.4245457119364137,0.4912021533067446,0.06665644137033089,-20.001533794450367,-20.001533794450367
2,0.36684787130247126,0.336769703922133,-0.03007816738033825,-34.51172510705074,-34.51172510705074
3,0.3686140815444707,0.5744684224377754,0.20585434089330473,0.8781511339957113,0.8781511339957113
4,0.27598416181305113,0.3595171989175886,0.08353303710453747,-17.47004443431938,-17.47004443431938
5,0.21060062346773722,0.39467586372672786,0.18407524025899064,-2.388713961151403,-2.388713961151403
6,0.09555414687337034,0.10094873086913919,0.005394583995768851,-29.190812400634673,-29.190812400634673
7,0.4713279510638056,0.474653971853572,0.003326020789766404,-29.50109688153504,-29.50109688153504
8,0.5739867662219429,0.6391212359274452,0.0651344697055023,-20.229829544174656,-20.229829544174656
9,0.6001867930530842,0.5439941705575626,-0.056192622495521594,-38.42889337432824,-38.42889337432824
10,0.3086380024777726,0.42381882998625126,0.11518082750847863,-12.722875873728206,-12.722875873728206
11,0.6583030922636959,0.7104874021081522,0.05218430984445632,-22.17235352333155,-22.17235352333155
12,0.3978943214047543,0.29637266022218556,-0.10152166118256872,-45.22824917738531,-45.22824917738531
13,0.6429584111000294,0.6677326200908517,0.024774208990822277,-26.283868651376658,-26.283868651376658
14,0.2871845800492139,0.2895999261681704,0.002415346118956496,-29.637698082156525,-29.637698082156525
15,0.29933836407313336,0.37813192645695676,0.0787935623838234,-18.18096564242649,-18.18096564242649
16,0.39537306957560076,0.43827907769000457,0.042906008114403815,-23.564098782839427,-23.564098782839427
17,0.6208818635458396,0.6945252016667384,0.07364333812089874,-18.95349928186519,-18.95349928186519
18,0.6738577592278863,0.677739035974301,0.003881276746414697,-29.417808488037796,-29.417808488037796
19,0.5637110578938856,0.5853599131051669,0.021648855211281237,-26.752671718307816,-26.752671718307816
20,0.3437593461195667,0.5173252512462831,0.17356590512671644,-3.9651142309925334,-3.9651142309925334
21,0.26606624613878976,0.3542675802475065,0.08820133410871672,-16.769799883692492,-16.769799883692492
22,0.5160277066713458,0.48428062707006625,-0.03174707960127954,-34.76206194019193,-34.76206194019193
23,0.4062773116112239,0.41574454642232667,0.009467234811102787,-28.579914778334583,-28.579914778334583
