member_id,policy_net_value,net_value,uplift,rank
9424,37.30973769290286,37.30973769290286,0.44873158461935236,1
8990,36.69755274168517,36.69755274168517,0.4446503516112345,2
4579,31.743014978487174,31.743014978487174,0.41162009985658116,3
7243,30.793084406454064,30.793084406454064,0.4052872293763604,4
199,28.440064554215013,28.440064554215013,0.38960043036143344,5
4924,28.24227030924061,28.24227030924061,0.38828180206160406,6
1702,21.02072673777178,21.02072673777178,0.34013817825181186,7
1434,18.28671124524395,18.28671124524395,0.32191140830162635,8
9880,17.89233505259874,17.89233505259874,0.3192822336839916,9
6491,16.84823514468932,16.84823514468932,0.3123215676312621,10
8364,16.482346799856685,16.482346799856685,0.3098823119990446,11
5514,15.03823787942563,15.03823787942563,0.30025491919617087,12
6378,15.001477746022488,15.001477746022488,0.3000098516401499,13
2549,13.198781207684284,13.198781207684284,0.2879918747178952,14
4586,13.134584039957097,13.134584039957097,0.28756389359971396,15
6106,13.11234251002076,13.11234251002076,0.2874156167334717,16
9656,12.813810598704713,12.813810598704713,0.28542540399136473,17
7485,12.75484487623163,12.75484487623163,0.28503229917487755,18
5591,12.740539395683165,12.740539395683165,0.28493692930455444,19
7678,12.490068425935924,12.490068425935924,0.28326712283957284,20
4318,12.195590636515043,12.195590636515043,0.28130393757676697,21
9514,11.653428150000067,11.653428150000067,0.27768952100000044,22
8148,10.981641391724743,10.981641391724743,0.2732109426114983,23
7975,10.762865944175438,10.762865944175438,0.27175243962783624,24
5260,10.698039862125874,10.698039862125874,0.27132026574750584,25
1862,10.641269915607872,10.641269915607872,0.27094179943738583,26
9833,10.448411969358617,10.448411969358617,0.2696560797957241,27
8690,9.732873176090465,9.732873176090465,0.26488582117393644,28
7346,9.431546047502707,9.431546047502707,0.26287697365001805,29
650,9.30076443590039,9.30076443590039,0.26200509623933593,30
9597,9.293562867808724,9.293562867808724,0.2619570857853915,31
2051,9.172959851697833,9.172959851697833,0.2611530656779856,32
4592,9.056578617872134,9.056578617872134,0.2603771907858142,33
391,8.870086765720366,8.870086765720366,0.2591339117714691,34
4825,8.779754008314356,8.779754008314356,0.25853169338876236,35
5498,8.75824511632483,8.75824511632483,0.25838830077549885,36
5749,8.575220140038915,8.575220140038915,0.2571681342669261,37
4454,8.554071849703263,8.554071849703263,0.25702714566468843,38
9439,8.53202306297814,8.53202306297814,0.2568801537531876,39
375,8.378644446044326,8.378644446044326,0.2558576296402955,40
3594,8.308083213452512,8.308083213452512,0.25538722142301673,41
905,7.9653540981507405,7.9653540981507405,0.2531023606543383,42
9000,7.871656093717839,7.871656093717839,0.25247770729145225,43
339,7.74554872535748,7.74554872535748,0.2516369915023832,44
6471,7.719449310630814,7.719449310630814,0.2514629954042054,45
5901,7.612026931536121,7.612026931536121,0.2507468462102408,46
9858,7.590848801091461,7.590848801091461,0.2506056586739431,47
7308,7.451399605210028,7.451399605210028,0.24967599736806684,48
615,7.450981473111213,7.450981473111213,0.24967320982074143,49
8228,7.401914066663984,7.401914066663984,0.2493460937777599,50
