member_id,y_true,p_logreg
41,0,0.5327282640371652
1570,0,0.44723672770069894
6004,0,0.31388712986686435
2540,0,0.4869721672236331
674,0,0.6705467238811951
1835,1,0.3990526090863066
2237,0,0.49417545614495184
2524,0,0.4793408499498566
6435,0,0.43897136532788106
2987,0,0.535931703037064
3664,1,0.5548838364363607
915,0,0.7774795578241408
3951,1,0.4765471052164209
515,0,0.5777472219681982
6534,0,0.31536518985895157
168,0,0.38616378603346546
1272,1,0.7668816218272304
9171,1,0.44897464795239783
1132,1,0.49769484843952005
6745,0,0.3681484658941297
7340,0,0.28106454922359736
4559,0,0.715798881223886
2236,1,0.574177055731565
6164,0,0.70712397302985
249,0,0.3315794517641615
3272,0,0.463403569961162
6288,0,0.5188282232945863
9553,0,0.39598609414442937
8643,0,0.3822417800918511
3301,0,0.28411958366422796
7431,0,0.5362050509255453
6418,0,0.205507346599035
8577,0,0.7430647331944642
169,0,0.34356606361519937
5587,1,0.7093127374168609
918,0,0.5724934968393753
2632,0,0.31410719782180657
3156,0,0.38418459259363663
2239,0,0.2695561243696706
6056,0,0.4271534603848278
7243,1,0.3897021271940139
8498,0,0.4843033880623214
9454,0,0.3734096598681243
7778,0,0.23893743504030873
3731,0,0.552075436560215
3358,0,0.632516619200651
386,0,0.35395320707460076
2603,0,0.22218007738763929
4367,0,0.41622493004370703
4059,0,0.3996451394211563
1474,1,0.674282212621511
116,1,0.3919556389863912
1196,1,0.5565585158348111
5624,0,0.51419645189286
9688,1,0.5218292943769776
5329,0,0.4440952211452757
6367,0,0.5334994781129525
6122,0,0.49757095885962865
6783,1,0.600808164991741
9029,0,0.43323559203036605
5732,0,0.385297829885862
3161,1,0.42074488832129325
7037,0,0.4065294001703606
9731,0,0.2776679564275791
7917,0,0.8070446357021331
1456,0,0.4209995569360679
8682,0,0.6175841208550428
7189,1,0.5011868959120628
3440,0,0.5377267490351894
3278,0,0.4279702538785353
6438,0,0.43607926473631226
2314,1,0.567403165634282
7601,1,0.46583120483238744
7249,0,0.5186128796988719
5187,0,0.6410887034601014
3288,0,0.1628559770026795
1150,0,0.5991711780606878
3992,0,0.5334132015447604
7072,0,0.23871054322552426
500,0,0.4435779855530954
3634,0,0.2576150498025061
8361,0,0.5156808735119573
9490,0,0.40059127213704043
9891,0,0.269928323638246
8973,0,0.6966240604710898
5362,0,0.44492802712333107
7842,0,0.3034365474387453
2601,0,0.514757625346836
2983,0,0.3429940967523288
6030,0,0.6127325373538013
4449,0,0.6258408528500576
6650,0,0.3159333533838233
3866,0,0.6724644823658003
5242,1,0.6002261531908548
7499,0,0.5802880315526563
6942,0,0.38128194306011576
8178,0,0.8350508474386565
3675,0,0.5215397463867071
9962,0,0.4821694096028208
4598,1,0.40687658557566186
2530,1,0.5003525054131978
154,0,0.8817487307554207
2647,0,0.43891352101474324
290,0,0.5297986451814042
1794,1,0.7514951548905471
7885,0,0.41378250564825597
5569,0,0.1303263130621162
5746,0,0.5304195126047087
8974,0,0.44325101217418067
1860,0,0.457379973692592
8038,0,0.7732792868628866
5860,0,0.609449134187991
6003,0,0.23998390719024956
1246,0,0.7475566749808399
3403,0,0.43870234063542735
6159,0,0.5350929482706237
6350,1,0.45774538252626507
8157,0,0.5178647430274183
6595,0,0.587236194134878
1670,0,0.6163828823220275
7469,0,0.5457025447569229
8753,0,0.11774802415819434
5598,0,0.23594106236049656
3376,0,0.3550281839246792
720,1,0.7230574241315669
7346,0,0.4451318089891023
1019,0,0.5495494871946519
6517,0,0.6032759880356082
2617,0,0.24825623315027928
5698,0,0.3703241263933126
5914,0,0.11387370567435062
1178,0,0.5801162853504417
406,0,0.3706027185839202
5550,0,0.2544071397464901
16,0,0.4352892934944844
576,1,0.42143890904079123
9504,1,0.43632912067903507
8722,1,0.43310844814230587
8319,0,0.5012354260266194
3483,1,0.22515769826047197
206,0,0.5722045622655585
8423,0,0.41427240821258976
1585,0,0.35792497182811983
9271,0,0.6276165990783661
9803,0,0.26995501970670444
7795,0,0.2497075819012599
9514,0,0.4093978415579514
5171,0,0.40698833311174787
1728,0,0.394297596567586
9476,1,0.5044235949204778
8106,0,0.5962782938026676
9849,0,0.2743654560493283
6562,0,0.3864905387835045
840,1,0.25583091113078205
1641,0,0.6103235451099017
2184,0,0.6453540251140576
53,0,0.5481193229806266
4831,0,0.3086331714991232
9702,1,0.6975145664117006
6820,0,0.6063367177574641
4223,0,0.43551228851480145
5116,0,0.3962235252235664
